"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 25 14:41:23 UTC 2023","Tue Apr 25 14:41:34 UTC 2023","11727","tests","test_1_check_login_page","","","","test_check_login_page[chromium]","
    Check that the login page is available and displayed
    "
"passed","Tue Apr 25 14:41:40 UTC 2023","Tue Apr 25 14:41:50 UTC 2023","10048","tests","test_1_check_negative_login","","","","test_check_login_page[chromium]","
    Check that a user with an invalid password cannot login
    "
"skipped","Tue Apr 25 14:42:52 UTC 2023","Tue Apr 25 14:42:52 UTC 2023","0","tests","test_2_check_structure_node_information","","","","test_basic_test[chromium]",""
"skipped","Tue Apr 25 14:43:11 UTC 2023","Tue Apr 25 14:43:11 UTC 2023","0","tests","test_3_check_maindashbord_new_widget","","","","test_basic_test[chromium]",""
"skipped","Tue Apr 25 14:42:52 UTC 2023","Tue Apr 25 14:42:52 UTC 2023","0","tests","test_2_check_statistic_widget","","","","test_basic_test[chromium]",""
"passed","Tue Apr 25 14:43:11 UTC 2023","Tue Apr 25 14:43:48 UTC 2023","37023","tests","test_4_check_download_logs","","","","test_check_download_logs[chromium]","
    Check the ability to export logs in CSV format. Validating the CSV format
    "
"passed","Tue Apr 25 14:41:51 UTC 2023","Tue Apr 25 14:42:06 UTC 2023","15452","tests","test_1_check_positive_login","","","","test_check_login_page[chromium]","
    Check that the administrator can login and logout
    "
"passed","Tue Apr 25 14:42:52 UTC 2023","Tue Apr 25 14:43:08 UTC 2023","15951","tests","test_3_check_info_page","","","","test_check_info_page[chromium]","
    Checking the operation of the information window with the version and dates
    "
"passed","Tue Apr 25 14:42:08 UTC 2023","Tue Apr 25 14:42:50 UTC 2023","41452","tests","test_2_check_delete_mgmt_log","","","","test_check_delete_mgmt_log[chromium]","
    Checking the ability to search for and delete logs
    "
